id,question,solution,intuitive_answer,n_choices,choice1,choice2,choice3,choice4,choice5,choice6
1,A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much (in cents) does the ball cost?,5,10,0,,,,,,
2,"If it takes 5 machines 5 minutes to make 5 widgets, how long (in minutes) would it take 100 machines to make 100 widgets?",5,100,0,,,,,,
3,"In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long (in days) would it take for the patch to cover half of the lake?",47,24,0,,,,,,
4,"If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long (in days) would it take them to drink one barrel of water together?",4,9,0,,,,,,
5,Jerry got both the 15th highest and the 15th lowest score in a contest. How many participants were in this contest?,29,30,0,,,,,,
6,"A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much (in dollars) has he made?",20,10,0,,,,,,
7,"Simon decided to invest $8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%. At this point, Simon has:",3,2,3,broken even in the stock market,is ahead of where he began,has lost money,,,
8,You drive at the speed of 60 miles per hour from point A to to point B and at the speed of 30 miles per hour from point B to point A. What is your average speed (in miles per hour)?,40,45,0,,,,,,
9,"Six workers together have to move 600 pounds of sugar from a factory to a store, each of them can carry 100 pounds. Six workers together are able to move all 600 pounds to the store at once for 1 hour. How many hours does it take for three workers to move these 600 pounds to the store?",3,2,"0
",,,,,,
10,"Master Yoda spent one-fourth of his life as a youngling, one-eighth as a young padawan, and one-half as a jedi knight. If Master Yoda spent 100 years as an old and wise master jedi, how many years did he spend as a jedi knight? ",400,,0,,,,,,
11,"Mary took four tests. If she scored 80, 85, and 95 on three tests, and her average score for all four tests was 85,  what did she get on the fourth test?",80,,0,,,,,,
12,"Suppose m, n are integer numbers, both are greater than 2. Compare m/n with (m+1)/(n+1)",3,,3,m/n is greater or equal to (m+1)/(n+1),m/n is less or equal to (m+1)/(n+1),cannot tell,,,
13,Which number should come next in the series? 1-1-2-3-5-8-13,21,,0,,,,,,
14,"Mary, who is sixteen years old, is four times as old as her brother. How old will Mary be when she is twice as old as her brother?",24,,0,,,,,,
15,"A hat contains 20 balls, numbered 1 through 20. If two different balls are chosen at random from the hat, what is the probability that both balls are even numbers?",2,,6,2/67,9/38,1/10,1/4,1/2,1/19